DATA_BASE;DIST;ITEM;Próprio_Distribuidor;Diferente_Próprio_Distribuidor;Total
31/12/2024;26;REDE TOTAL                        ;24150.4429;307.275715;24457.718615
31/12/2022;369;REDE TOTAL                        ;72511.078436;1116.7068;73627.785236
31/12/2021;5216;REDE TOTAL                        ;33540.847001;677.421814;34218.268815
31/12/2024;369;REDE TOTAL                        ;76724.440982;617.032547;77341.473529
31/12/2020;6611;REDE TOTAL                        ;5750.634752;74.525927;5825.160679
31/12/2021;6611;REDE TOTAL                        ;5780.230302;82.28656;5862.516862
31/12/2020;32;REDE TOTAL                        ;101440.230742;301.399766;101741.630508
31/12/2022;405;REDE TOTAL                        ;208660.685021;14879.550195;223540.235216
31/12/2020;6585;REDE TOTAL                        ;29345.86717;103.509026;29449.376196
31/12/2021;6600;REDE TOTAL                        ;79096.958771;624.711412;79721.670183
31/12/2020;26;REDE TOTAL                        ;21392.378615;81.959943;21474.338558
31/12/2020;404;REDE TOTAL                        ;104020.584421;1901.363406;105921.947827
31/12/2021;404;REDE TOTAL                        ;105995.675396;1987.916089;107983.591485
31/12/2020;405;REDE TOTAL                        ;197261.909708;16100.207931;213362.117639
31/12/2020;5216;REDE TOTAL                        ;32936.46512;662.513866;33598.978986
31/12/2020;6612;REDE TOTAL                        ;2105.411014;2.854714;2108.265728
31/12/2024;5216;REDE TOTAL                        ;35092.764723;693.696362;35786.461085
31/12/2023;6585;REDE TOTAL                        ;32140.168296;116.368095;32256.536391
31/12/2022;6587;REDE TOTAL                        ;28520.007152;863.42912;29383.436272
31/12/2023;26;REDE TOTAL                        ;22982.062831;301.487812;23283.550643
31/12/2023;405;REDE TOTAL                        ;210972.570851;14430.83033;225403.401181
31/12/2024;405;REDE TOTAL                        ;216612.529344;14164.804192;230777.333536
31/12/2023;6587;REDE TOTAL                        ;28856.524014;863.029079;29719.553093
31/12/2023;404;REDE TOTAL                        ;108676.278464;2149.744538;110826.023002
31/12/2023;5216;REDE TOTAL                        ;34576.170755;669.673709;35245.844464
31/12/2022;26;REDE TOTAL                        ;22208.46734;232.1445;22440.61184
31/12/2023;32;REDE TOTAL                        ;104769.204641;343.8759;105113.080541
31/12/2022;6585;REDE TOTAL                        ;31883.185034;96.903775;31980.088809
31/12/2021;6587;REDE TOTAL                        ;28038.098493;1006.432282;29044.530775
31/12/2022;404;REDE TOTAL                        ;107598.467652;2023.940458;109622.40811
31/12/2024;404;REDE TOTAL                        ;108503.20838;2525.726854;111028.935234
31/12/2021;405;REDE TOTAL                        ;202045.592312;16357.571644;218403.163956
31/12/2022;5216;REDE TOTAL                        ;33729.982695;666.493473;34396.476168
31/12/2024;6587;REDE TOTAL                        ;29064.691325;987.017412;30051.708737
31/12/2021;26;REDE TOTAL                        ;21697.240336;222.76139;21920.001726
31/12/2022;32;REDE TOTAL                        ;103604.801202;328.899685;103933.700887
31/12/2024;6600;REDE TOTAL                        ;86954.8628;880.56654;87835.42934
31/12/2020;369;REDE TOTAL                        ;63975.175249;4852.663341;68827.83859
31/12/2021;369;REDE TOTAL                        ;69532.591149;964.231764;70496.822913
31/12/2021;6585;REDE TOTAL                        ;29536.669821;100.606921;29637.276742
31/12/2020;6587;REDE TOTAL                        ;27771.2428;994.149103;28765.391903
31/12/2021;6612;REDE TOTAL                        ;2111.951182;3.196929;2115.148111
31/12/2021;32;REDE TOTAL                        ;101856.386733;319.690065;102176.076798
31/12/2023;369;REDE TOTAL                        ;75044.005838;539.832151;75583.837989
31/12/2020;6600;REDE TOTAL                        ;78667.29016;597.218796;79264.508956
31/12/2024;32;REDE TOTAL                        ;106400.194983;408.528475;106808.723458
31/12/2024;6585;REDE TOTAL                        ;32395.260893;126.038976;32521.299869
31/12/2022;6600;REDE TOTAL                        ;79776.540588;631.442399;80407.982987
31/12/2023;6600;REDE TOTAL                        ;86131.856602;921.8675;87053.724102
31/12/2022;6611;REDE TOTAL                        ;5813.92356;89.730268;5903.653828
31/12/2020;26;REDE BT                           ;3167.366803;72.602452;3239.969255
31/12/2021;26;REDE BT                           ;3088.029678;208.414908;3296.444586
31/12/2022;26;REDE BT                           ;3171.416991;207.799555;3379.216546
31/12/2023;26;REDE BT                           ;3219.467891;235.374066;3454.841957
31/12/2024;26;REDE BT                           ;3283.626082;234.172671;3517.798753
31/12/2020;32;REDE BT                           ;11833.303589;2.018376;11835.321965
31/12/2021;32;REDE BT                           ;11743.764598;2.661567;11746.426165
31/12/2022;32;REDE BT                           ;11871.098639;2.666105;11873.764744
31/12/2023;32;REDE BT                           ;11968.029338;3.128125;11971.157463
