DATA_BASE;DIST;TUC;A1;SITCONT;SIT_ATIV;PROPRIEDADE;QTD;SOMA_REDE_KM
2020/12/31 00:00:00.000000000;26.0;0.0;0;0  ;  ;0 ;90;0.0
2020/12/31 00:00:00.000000000;26.0;0.0;0;0  ;  ;G ;1;0.0
2020/12/31 00:00:00.000000000;26.0;0.0;0;0  ;  ;O ;7512;0.0
2020/12/31 00:00:00.000000000;26.0;0.0;0;0  ;  ;OD;41;0.0
2020/12/31 00:00:00.000000000;26.0;0.0;0;0  ;  ;PD;746;1.035156
2020/12/31 00:00:00.000000000;26.0;0.0;0;0  ;AT;O ;5292;0.0
2020/12/31 00:00:00.000000000;26.0;0.0;0;0  ;AT;PD;49816;0.0
2020/12/31 00:00:00.000000000;26.0;0.0;0;AT1;  ;0 ;8;0.33797200000000005
2020/12/31 00:00:00.000000000;26.0;0.0;0;AT1;  ;O ;24;0.704236
2020/12/31 00:00:00.000000000;26.0;0.0;0;AT1;  ;PD;13188;1073.698336
2020/12/31 00:00:00.000000000;26.0;0.0;0;COM;AT;O ;314;0.0
2020/12/31 00:00:00.000000000;26.0;0.0;0;COM;AT;PD;145868;0.0
2020/12/31 00:00:00.000000000;26.0;135;1;AT1;  ;PD;20;0.0
2020/12/31 00:00:00.000000000;26.0;135;2;AT1;  ;PD;170;0.0
2020/12/31 00:00:00.000000000;26.0;160;1;AT1;AT;O ;207;0.0
2020/12/31 00:00:00.000000000;26.0;160;1;AT1;AT;PD;15343;0.0
2020/12/31 00:00:00.000000000;26.0;160;2;AT1;AT;PD;252;0.0
2020/12/31 00:00:00.000000000;26.0;160;3;AT1;AT;O ;2;0.0
2020/12/31 00:00:00.000000000;26.0;160;3;AT1;AT;PD;21157;0.0
2020/12/31 00:00:00.000000000;26.0;160;3;SF ;AT;O ;5;0.0
2020/12/31 00:00:00.000000000;26.0;160;3;SF ;AT;PD;14478;0.0
2020/12/31 00:00:00.000000000;26.0;160;4;AT1;AT;PD;272;0.0
2020/12/31 00:00:00.000000000;26.0;160;6;AT1;AT;PD;58;0.0
2020/12/31 00:00:00.000000000;26.0;160;6;SF ;AT;PD;43;0.0
2020/12/31 00:00:00.000000000;26.0;160;10;AT1;AT;PD;3;0.0
2020/12/31 00:00:00.000000000;26.0;160;10;SF ;AT;PD;1;0.0
2020/12/31 00:00:00.000000000;26.0;160;12;AT1;AT;PD;12;0.0
2020/12/31 00:00:00.000000000;26.0;160;12;SF ;AT;PD;3;0.0
2020/12/31 00:00:00.000000000;26.0;160;15;AT1;AT;PD;3;0.0
2020/12/31 00:00:00.000000000;26.0;190.0;2;0  ;  ;O ;8979;221.065419
2020/12/31 00:00:00.000000000;26.0;190.0;2;0  ;  ;PD;30678;685.155412
2020/12/31 00:00:00.000000000;26.0;190.0;2;AT1;  ;0 ;94;8.127305
2020/12/31 00:00:00.000000000;26.0;190.0;2;AT1;  ;O ;3824;102.420593
2020/12/31 00:00:00.000000000;26.0;190.0;2;AT1;  ;OD;24;1.550192
2020/12/31 00:00:00.000000000;26.0;190.0;2;AT1;  ;PD;1681259;87717.769008
2020/12/31 00:00:00.000000000;26.0;210;2;AT1;AT;PD;398;0.0
2020/12/31 00:00:00.000000000;26.0;255;1;AT1;  ;PD;193247;0.0
2020/12/31 00:00:00.000000000;26.0;255;2;AT1;  ;PD;702;0.0
2020/12/31 00:00:00.000000000;26.0;295;1;AT1;  ;PD;43342;0.0
2020/12/31 00:00:00.000000000;26.0;295;11;AT1;  ;PD;264989;0.0
2020/12/31 00:00:00.000000000;26.0;345;1;AT1;AT;O ;25;0.0
2020/12/31 00:00:00.000000000;26.0;345;1;AT1;AT;PD;1948;0.0
